hidden_size,num_epochs,batch_size,learning_rate,dropout_prob,MSE,R2
"[64, 64, 64]",12,16,0.01,0.0,0.005565768573433161,0.9749871646458554
"[64, 64, 64]",20,16,0.01,0.1,0.00655777333304286,0.965608180731053
"[64, 64, 64]",7,16,0.01,0.2,0.010931233875453472,0.9330840924374347
"[64, 64, 64]",36,16,0.001,0.0,0.008139289915561676,0.9647094856826376
"[64, 64, 64]",30,16,0.001,0.1,0.006564089097082615,0.9689621911277225
"[64, 64, 64]",24,16,0.001,0.2,0.007534169591963291,0.9616131926750763
"[64, 64, 64]",22,32,0.01,0.0,0.005817989818751812,0.974430028400033
"[64, 64, 64]",17,32,0.01,0.1,0.0060409787110984325,0.9696987007269527
"[64, 64, 64]",5,32,0.01,0.2,0.01193438284099102,0.9294947129018201
"[64, 64, 64]",64,32,0.001,0.0,0.008040565997362137,0.9647003051319023
"[64, 64, 64]",56,32,0.001,0.1,0.00607310188934207,0.9724875853798018
"[64, 64, 64]",47,32,0.001,0.2,0.00908435508608818,0.9533933764097837
"[64, 64, 64]",22,64,0.01,0.0,0.006012993864715099,0.973654299850156
"[64, 64, 64]",14,64,0.01,0.1,0.006246127188205719,0.9690823926150356
"[64, 64, 64]",6,64,0.01,0.2,0.01126512885093689,0.9331774911380281
"[64, 64, 64]",136,64,0.001,0.0,0.00876299012452364,0.9613700140909008
"[64, 64, 64]",91,64,0.001,0.1,0.0066908178851008415,0.9687603684370872
"[64, 64, 64]",53,64,0.001,0.2,0.009196990169584751,0.9535574705321145
"[64, 64, 64]",38,128,0.01,0.0,0.005933297332376242,0.9739464635409524
"[64, 64, 64]",28,128,0.01,0.1,0.006678038742393255,0.9660383832341517
"[64, 64, 64]",15,128,0.01,0.2,0.010564361698925495,0.9401635861063029
"[64, 64, 64]",197,128,0.001,0.0,0.008093581534922123,0.9645366089159153
"[64, 64, 64]",100,128,0.001,0.1,0.007247839123010635,0.9663106324014712
"[64, 64, 64]",115,128,0.001,0.2,0.008964687585830688,0.9554650479019118
"[64, 64, 64]",57,256,0.01,0.0,0.005852827336639166,0.9744056145457014
"[64, 64, 64]",25,256,0.01,0.1,0.006782028824090958,0.966784885189251
"[64, 64, 64]",23,256,0.01,0.2,0.009832041338086128,0.9452781766740243
"[64, 64, 64]",199,256,0.001,0.0,0.01072730403393507,0.9531907869001724
"[64, 64, 64]",189,256,0.001,0.1,0.007626620586961508,0.9638831733417372
"[64, 64, 64]",140,256,0.001,0.2,0.01026949007064104,0.9483836990010625
"[64, 128, 64]",12,16,0.01,0.0,0.005621049087494612,0.97541269871378
"[64, 128, 64]",26,16,0.01,0.1,0.005377350375056267,0.9752352376977947
"[64, 128, 64]",14,16,0.01,0.2,0.009314345195889473,0.9458511977025039
"[64, 128, 64]",36,16,0.001,0.0,0.009579150937497616,0.9582002462890297
"[64, 128, 64]",39,16,0.001,0.1,0.006580123212188482,0.969499836875366
"[64, 128, 64]",28,16,0.001,0.2,0.013372210785746574,0.9266810021041817
"[64, 128, 64]",11,32,0.01,0.0,0.0055753085762262344,0.9755888098771157
"[64, 128, 64]",13,32,0.01,0.1,0.005930186714977026,0.9710219761365296
"[64, 128, 64]",9,32,0.01,0.2,0.008982343599200249,0.9491774546050257
"[64, 128, 64]",49,32,0.001,0.0,0.009251133538782597,0.959681022148833
"[64, 128, 64]",69,32,0.001,0.1,0.006266859360039234,0.9716901460593196
"[64, 128, 64]",26,32,0.001,0.2,0.009781397879123688,0.9503870589204473
"[64, 128, 64]",22,64,0.01,0.0,0.006092945579439402,0.9733854559382172
"[64, 128, 64]",21,64,0.01,0.1,0.006944092456251383,0.9636745298276936
"[64, 128, 64]",35,64,0.01,0.2,0.01029249094426632,0.9370611103427297
"[64, 128, 64]",118,64,0.001,0.0,0.009969392791390419,0.9563131068887956
"[64, 128, 64]",99,64,0.001,0.1,0.007108437363058329,0.9672634438782123
"[64, 128, 64]",58,64,0.001,0.2,0.008615083061158657,0.9574327405744868
"[64, 128, 64]",32,128,0.01,0.0,0.006192022003233433,0.9725724143300014
"[64, 128, 64]",32,128,0.01,0.1,0.0061980667524039745,0.969191951094345
"[64, 128, 64]",23,128,0.01,0.2,0.009215186350047588,0.9484111478011024
"[64, 128, 64]",200,128,0.001,0.0,0.010857095941901207,0.9530113099858738
"[64, 128, 64]",108,128,0.001,0.1,0.007494832389056683,0.9651429078083147
"[64, 128, 64]",103,128,0.001,0.2,0.00894614215940237,0.9546037320653393
"[64, 128, 64]",72,256,0.01,0.0,0.005764388013631105,0.974842651971305
"[64, 128, 64]",69,256,0.01,0.1,0.0057731312699615955,0.9723522551845194
"[64, 128, 64]",41,256,0.01,0.2,0.009088932536542416,0.9485983713538415
"[64, 128, 64]",200,256,0.001,0.0,0.010978464037179947,0.9525196481974768
"[64, 128, 64]",200,256,0.001,0.1,0.008067719638347626,0.9623408551273208
"[64, 128, 64]",82,256,0.001,0.2,0.026563433930277824,0.8357130398173175
"[64, 128, 256]",15,16,0.01,0.0,0.005930458195507526,0.9743718244627475
"[64, 128, 256]",13,16,0.01,0.1,0.007491900119930506,0.9588929527643689
"[64, 128, 256]",3,16,0.01,0.2,0.014681716449558735,0.9051453125327599
"[64, 128, 256]",32,16,0.001,0.0,0.009451258927583694,0.9589502641518841
"[64, 128, 256]",19,16,0.001,0.1,0.0089409239590168,0.9554849760089252
"[64, 128, 256]",6,16,0.001,0.2,0.029068883508443832,0.803555426412931
