hidden_size,num_epochs,batch_size,learning_rate,dropout_prob,MSE,R2
"[16, 16, 16]",37,4,0.001,0.0,0.0071290885098278,0.9670617764637588
"[16, 16, 16]",24,4,0.001,0.1,0.0215975940227508,0.8952545718124056
"[16, 16, 16]",36,4,0.001,0.2,0.0324030183255672,0.8446248910124041
"[32, 32, 32]",25,4,0.001,0.0,0.0070049907080829,0.9672837922085424
"[32, 32, 32]",37,4,0.001,0.1,0.0140566593036055,0.9354818053716998
"[32, 32, 32]",50,4,0.001,0.2,0.0152751794084906,0.929867647924482
"[64, 64, 64]",36,4,0.001,0.0,0.0065650786273181,0.9707518197962266
"[64, 64, 64]",39,4,0.001,0.1,0.0099612474441528,0.9545634743911546
"[64, 64, 64]",61,4,0.001,0.2,0.013282686471939,0.9392558494484604
"[16, 8, 16]",56,4,0.001,0.0,0.0068589658476412,0.9695057899908984
"[16, 8, 16]",18,4,0.001,0.1,0.0214297529309988,0.8962784320316626
"[16, 8, 16]",25,4,0.001,0.2,0.0357661359012126,0.8084183301255591
"[32, 16, 32]",42,4,0.001,0.0,0.0066954009234905,0.9698057245159304
"[32, 16, 32]",51,4,0.001,0.1,0.0121980151161551,0.9447021991325276
"[32, 16, 32]",9,4,0.001,0.2,0.0303167141973972,0.8407277070000406
"[64, 32, 64]",25,4,0.001,0.0,0.0069855912588536,0.9686170811040512
"[64, 32, 64]",42,4,0.001,0.1,0.0117469867691397,0.9449101436799316
"[64, 32, 64]",44,4,0.001,0.2,0.0162755027413368,0.9253386004467924
"[16, 32, 16]",35,4,0.001,0.0,0.0069816755130887,0.9682174325558272
"[16, 32, 16]",46,4,0.001,0.1,0.0141601273790001,0.9357508962977366
"[16, 32, 16]",37,4,0.001,0.2,0.0223242007195949,0.8878442431680773
"[32, 64, 32]",36,4,0.001,0.0,0.0068656201474368,0.9683004645846814
"[32, 64, 32]",34,4,0.001,0.1,0.0136515442281961,0.9376293995201516
"[32, 64, 32]",59,4,0.001,0.2,0.0162779688835144,0.9262244446461062
"[128, 128, 128]",32,4,0.001,0.0,0.0066701942123472,0.9703890310568144
"[128, 128, 128]",36,4,0.001,0.1,0.0092618558555841,0.9584477762703684
"[128, 128, 128]",58,4,0.001,0.2,0.0105343293398618,0.9514658454890385
"[256, 256, 256]",44,4,0.001,0.0,0.0064486898481845,0.970501447086249
"[256, 256, 256]",66,4,0.001,0.1,0.0085842367261648,0.9606957418849534
"[256, 256, 256]",40,4,0.001,0.2,0.0094475410878658,0.958091556886158
"[512, 512, 512]",31,4,0.001,0.0,0.0063964482396841,0.9711887074646872
"[512, 512, 512]",37,4,0.001,0.1,0.0085333669558167,0.9610907124487365
"[512, 512, 512]",73,4,0.001,0.2,0.0081147300079464,0.9642668345942786
"[128, 64, 128]",38,4,0.001,0.0,0.006598352920264,0.9705948962708016
